,Physics Score,Clinical Score,Dexterity Score,Persistence Score,Problem Solving Score,Graphs Score,Judgement Score,Spatial Score,Visualization Score,Logic Score,Combined Score
1,8.78,-1.07,0.99,0.84,0.78,1.03,0.58,1.48,0.29,1.06,7.71
2,1.57,-9.36,0.93,0.67,-0.78,0.69,0.58,0.59,0.14,1.19,-7.79
3,12.26,10.69,1.17,1.16,2.34,1.71,1.17,2.08,1.29,1.19,22.95
4,8.34,2.05,1.11,0.87,2.34,1.71,1.07,1.19,1.15,1.06,10.39
5,-6.99,-9.26,1.1,0.53,0.39,1.03,0.97,0.3,0.43,0.8,-16.24
6,1.82,-4.39,1,0.83,0.39,1.03,0.97,0.59,1.15,1.19,-2.57
7,-6.27,-1.12,1.09,1.18,0.39,1.71,1.17,0.89,0.72,0.93,-7.39
8,,,,,,,,,,,
9,2.27,3.33,1.11,1.31,0.78,1.71,1.17,0.89,1.72,1.19,5.6
10,2,10.75,1.02,1.97,1.17,1.71,1.07,1.48,2.15,0.93,12.75
11,-6.5,6.43,1.22,1.37,1.56,1.37,1.26,1.78,0.14,0.66,-0.07
