,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,
2D Anatomy,100,100,100,100,100,90,75,100,90,100,100,95,85,,,,,,,,,
M-Mode Anatomy,81.25,91.67,100,96.58,97.91,100,96.58,100,96.58,100,100,100,87.5,,,,,,,,,
2D/MM Measure,90,90,89,100,100,100,100,100,100,100,100,98,90,,,,,,,,,
Doppler,90,100,100,100,100,100,100,100,90,100,100,100,80,,,,,,,,,
Doppler Calcs,100,100,86.68,100,100,86.68,100,100,100,100,100,100,80.02,,,,,,,,,
Hemodynamics,100,100,100,100,100,91.63,100,,100,100,100,100,100,,,,,,,,,
ECG/ECG Atrial,90,90,98,90,90,90,100,,88,90,90,90,99,,,,,,,,,
ECG Ventricular,100,100,100,100,100,0,100,,100,100,90,0,100,,,,,,,,,
Pharmacology,,90,90,90,100,80,100,,90,100,90,80,100,,,,,,,,,
Systolic Fxn,,80,70,100,90,90,90,,90,80,90,70,100,,,,,,,,,
Diastolic Fxn,,83.34,91.67,100,91.67,91.67,91.67,,91.67,83.34,91.67,91.67,91.67,,,,,,,,,
Other Modalities,,83.34,65,90,80,100,100,,62.5,80,90,80,100,,,,,,,,,
Quizzes Average,,92.3625,90.8625,97.215,95.79833333,84.99833333,96.10416667,,91.5625,94.445,95.13916667,83.7225,92.76583333,,,,,,,,,
15%,,13.854375,13.629375,14.58225,14.36975,12.74975,14.415625,,13.734375,14.16675,14.270875,12.558375,13.914875,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Test 1,57%,69.8,85.3,88.8,77.2,68.6,74.6,47,83.5,81,85.3,82,68.6,,,,,,,,,
Test 2,49%,76.5,92,90.5,67.75,59.5,92.75,59,77,82.25,87.75,87.75,80.25,,,,,,,,,
Test 3,,77,96,98,81,85,93,,85,92,93,94,88,,,,,,,,,
Test 4,,66,94,96.25,77.5,74.5,89.25,,74.75,81.75,91.75,94,71.75,,,,,,,,,
Test Average,,72.325,91.825,93.3875,75.8625,71.9,87.4,,80.0625,84.25,89.45,89.4375,77.15,,,,,,,,,
20%,,14.465,18.365,18.6775,15.1725,14.38,17.48,,16.0125,16.85,17.89,17.8875,15.43,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Project ,,100,97.9,100,95.8,97.9,97.9,,97.9,100,97.9,95.8,100,,,,,,,,,
10%,,10,9.79,10,9.58,9.79,9.79,,9.79,10,9.79,9.58,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Midterm Exam,,77.7,86.3,95,76,69.5,83,,75,76.5,90,88,70.7,,,,,,,,,
25%,,19.425,21.575,23.75,19,17.375,20.75,,18.75,19.125,22.5,22,17.675,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Final Exam,,80.8,89.6,105.8,81.2,74,89.4,,82.2,89.2,92.2,96.2,88.8,,,,,,,,,
30%,,24.24,26.88,31.74,24.36,22.2,26.82,,24.66,26.76,27.66,28.86,26.64,,,,,,,,,
,,,,10,,,,,,,,,,,,,,,,,,
Final Grade,,81.984375,90.239375,98.74975,82.48225,76.49475,89.255625,,82.946875,86.90175,92.110875,90.885875,83.659875,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Final Course Grade,,C,B,A,C,C,B,W,C,B,B,B,B,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
